citizen;geo_iso;sex;age_group;age_code;TIME_PERIOD;emigration;immigration;net_migration;population;net_migration_rate
NAT;BE;F;From 10 to 14 years;Y10-14;2010;459.0;414.0;-45.0;276416.0;-0.00016279810141236396
NAT;BE;F;From 10 to 14 years;Y10-14;2013;565.0;328.0;-237.0;273414.0;-0.0008668173539028726
NAT;BE;F;From 10 to 14 years;Y10-14;2014;561.0;381.0;-180.0;273068.0;-0.0006591764688648981
NAT;BE;F;From 10 to 14 years;Y10-14;2015;638.0;366.0;-272.0;273473.0;-0.0009946137278634454
NAT;BE;F;From 10 to 14 years;Y10-14;2016;609.0;400.0;-209.0;274515.0;-0.0007613427317268637
NAT;BE;F;From 10 to 14 years;Y10-14;2017;673.0;374.0;-299.0;277748.0;-0.0010765154024511428
NAT;BE;F;From 10 to 14 years;Y10-14;2018;650.0;417.0;-233.0;282641.0;-0.0008243673069370685
NAT;BE;F;From 10 to 14 years;Y10-14;2019;607.0;391.0;-216.0;287700.0;-0.0007507820646506778
NAT;BE;F;From 15 to 19 years;Y15-19;2010;320.0;506.0;186.0;296362.0;0.0006276108272990465
NAT;BE;F;From 15 to 19 years;Y15-19;2013;498.0;449.0;-49.0;284105.0;-0.00017247144541630735
NAT;BE;F;From 15 to 19 years;Y15-19;2014;441.0;477.0;36.0;281437.0;0.00012791495077050992
NAT;BE;F;From 15 to 19 years;Y15-19;2015;441.0;520.0;79.0;280769.0;0.0002813700942767898
NAT;BE;F;From 15 to 19 years;Y15-19;2016;426.0;501.0;75.0;280861.0;0.0002670360071352021
NAT;BE;F;From 15 to 19 years;Y15-19;2017;442.0;428.0;-14.0;279869.0;-5.002340380678103e-05
NAT;BE;F;From 15 to 19 years;Y15-19;2018;453.0;511.0;58.0;277720.0;0.00020884343943540257
NAT;BE;F;From 15 to 19 years;Y15-19;2019;440.0;547.0;107.0;277138.0;0.0003860892407392707
NAT;BE;F;From 20 to 24 years;Y20-24;2010;913.0;433.0;-480.0;288257.0;-0.0016651807241454674
NAT;BE;F;From 20 to 24 years;Y20-24;2013;1188.0;444.0;-744.0;302753.0;-0.002457448811407319
NAT;BE;F;From 20 to 24 years;Y20-24;2014;1151.0;491.0;-660.0;303193.0;-0.0021768312592968836
NAT;BE;F;From 20 to 24 years;Y20-24;2015;1108.0;447.0;-661.0;299712.0;-0.002205450565876575
NAT;BE;F;From 20 to 24 years;Y20-24;2016;1045.0;476.0;-569.0;295005.0;-0.0019287808681208794
NAT;BE;F;From 20 to 24 years;Y20-24;2017;1032.0;463.0;-569.0;290445.0;-0.001959062817400885
NAT;BE;F;From 20 to 24 years;Y20-24;2018;1226.0;469.0;-757.0;286728.0;-0.0026401328087943977
NAT;BE;F;From 20 to 24 years;Y20-24;2019;1061.0;491.0;-570.0;283900.0;-0.002007749207467418
NAT;BE;F;From 25 to 29 years;Y25-29;2010;1431.0;614.0;-817.0;290147.0;-0.002815814052876645
NAT;BE;F;From 25 to 29 years;Y25-29;2013;1892.0;478.0;-1414.0;286414.0;-0.0049369095086134055
NAT;BE;F;From 25 to 29 years;Y25-29;2014;1947.0;575.0;-1372.0;288658.0;-0.00475302953668355
NAT;BE;F;From 25 to 29 years;Y25-29;2015;2071.0;680.0;-1391.0;290619.0;-0.004786335373805566
NAT;BE;F;From 25 to 29 years;Y25-29;2016;2075.0;652.0;-1423.0;294811.0;-0.0048268212515815215
NAT;BE;F;From 25 to 29 years;Y25-29;2017;2152.0;687.0;-1465.0;298311.0;-0.00491098216291052
NAT;BE;F;From 25 to 29 years;Y25-29;2018;2272.0;699.0;-1573.0;301319.0;-0.005220381057948553
NAT;BE;F;From 25 to 29 years;Y25-29;2019;2176.0;712.0;-1464.0;301040.0;-0.004863141110815839
NAT;BE;F;From 30 to 34 years;Y30-34;2010;1064.0;595.0;-469.0;291152.0;-0.0016108424465571247
NAT;BE;F;From 30 to 34 years;Y30-34;2013;1514.0;536.0;-978.0;300180.0;-0.003258045172896262
NAT;BE;F;From 30 to 34 years;Y30-34;2014;1406.0;604.0;-802.0;299273.0;-0.002679827448516906
NAT;BE;F;From 30 to 34 years;Y30-34;2015;1394.0;630.0;-764.0;296752.0;-0.00257454035693104
NAT;BE;F;From 30 to 34 years;Y30-34;2016;1466.0;614.0;-852.0;292255.0;-0.002915262356503738
NAT;BE;F;From 30 to 34 years;Y30-34;2017;1425.0;591.0;-834.0;289902.0;-0.002876834240536457
NAT;BE;F;From 30 to 34 years;Y30-34;2018;1552.0;695.0;-857.0;289137.0;-0.002963992847681203
NAT;BE;F;From 30 to 34 years;Y30-34;2019;1461.0;763.0;-698.0;290880.0;-0.0023996149614961496
NAT;BE;F;From 35 to 39 years;Y35-39;2010;846.0;568.0;-278.0;318180.0;-0.0008737192783958766
NAT;BE;F;From 35 to 39 years;Y35-39;2013;1106.0;468.0;-638.0;299087.0;-0.002133158579276264
NAT;BE;F;From 35 to 39 years;Y35-39;2014;1020.0;487.0;-533.0;298262.0;-0.0017870194661069798
NAT;BE;F;From 35 to 39 years;Y35-39;2015;981.0;553.0;-428.0;298436.0;-0.001434143333914139
NAT;BE;F;From 35 to 39 years;Y35-39;2016;1085.0;507.0;-578.0;302527.0;-0.0019105732711460464
NAT;BE;F;From 35 to 39 years;Y35-39;2017;1122.0;535.0;-587.0;305004.0;-0.001924564923738705
NAT;BE;F;From 35 to 39 years;Y35-39;2018;1157.0;553.0;-604.0;305899.0;-0.0019745079258186526
NAT;BE;F;From 35 to 39 years;Y35-39;2019;1078.0;556.0;-522.0;304697.0;-0.0017131773532394476
NAT;BE;F;From 40 to 44 years;Y40-44;2010;612.0;447.0;-165.0;343218.0;-0.0004807440169221894
NAT;BE;F;From 40 to 44 years;Y40-44;2013;925.0;388.0;-537.0;334669.0;-0.0016045704860623482
NAT;BE;F;From 40 to 44 years;Y40-44;2014;813.0;465.0;-348.0;330508.0;-0.0010529245888147942
NAT;BE;F;From 40 to 44 years;Y40-44;2015;826.0;430.0;-396.0;323655.0;-0.0012235250498215692
NAT;BE;F;From 40 to 44 years;Y40-44;2016;844.0;445.0;-399.0;314901.0;-0.0012670648870597425
NAT;BE;F;From 40 to 44 years;Y40-44;2017;789.0;444.0;-345.0;307710.0;-0.0011211855318319197
NAT;BE;F;From 40 to 44 years;Y40-44;2018;840.0;516.0;-324.0;303762.0;-0.0010666245284136923
NAT;BE;F;From 40 to 44 years;Y40-44;2019;778.0;454.0;-324.0;303067.0;-0.001069070535558144
NAT;BE;F;From 45 to 49 years;Y45-49;2010;536.0;386.0;-150.0;368062.0;-0.0004075400340160082
NAT;BE;F;From 45 to 49 years;Y45-49;2013;669.0;356.0;-313.0;360453.0;-0.0008683517684691208
NAT;BE;F;From 45 to 49 years;Y45-49;2014;660.0;366.0;-294.0;353990.0;-0.0008305319359303935
NAT;BE;F;From 45 to 49 years;Y45-49;2015;698.0;380.0;-318.0;345934.0;-0.0009192504928685819
NAT;BE;F;From 45 to 49 years;Y45-49;2016;648.0;418.0;-230.0;341344.0;-0.0006738070685291085
NAT;BE;F;From 45 to 49 years;Y45-49;2017;698.0;405.0;-293.0;338798.0;-0.0008648221063878771
NAT;BE;F;From 45 to 49 years;Y45-49;2018;728.0;434.0;-294.0;336881.0;-0.0008727117290675342
NAT;BE;F;From 45 to 49 years;Y45-49;2019;671.0;394.0;-277.0;332576.0;-0.0008328923313768883
NAT;BE;F;From 5 to 9 years;Y5-9;2010;636.0;582.0;-54.0;269087.0;-0.00020067859093899
NAT;BE;F;From 5 to 9 years;Y5-9;2013;958.0;440.0;-518.0;278201.0;-0.0018619631130010316
NAT;BE;F;From 5 to 9 years;Y5-9;2014;874.0;503.0;-371.0;283229.0;-0.0013098941139501959
NAT;BE;F;From 5 to 9 years;Y5-9;2015;848.0;475.0;-373.0;286298.0;-0.0013028383013503413
NAT;BE;F;From 5 to 9 years;Y5-9;2016;860.0;487.0;-373.0;289226.0;-0.0012896489250620621
NAT;BE;F;From 5 to 9 years;Y5-9;2017;959.0;477.0;-482.0;289551.0;-0.0016646462971980757
NAT;BE;F;From 5 to 9 years;Y5-9;2018;880.0;606.0;-274.0;289609.0;-0.0009461031943068068
NAT;BE;F;From 5 to 9 years;Y5-9;2019;790.0;558.0;-232.0;287430.0;-0.0008071530459590161
NAT;BE;F;From 50 to 54 years;Y50-54;2010;435.0;318.0;-117.0;352640.0;-0.0003317831215970962
NAT;BE;F;From 50 to 54 years;Y50-54;2013;620.0;308.0;-312.0;363051.0;-0.0008593833924159416
NAT;BE;F;From 50 to 54 years;Y50-54;2014;563.0;347.0;-216.0;365662.0;-0.0005907094529921075
NAT;BE;F;From 50 to 54 years;Y50-54;2015;616.0;325.0;-291.0;367334.0;-0.0007921945695198375
NAT;BE;F;From 50 to 54 years;Y50-54;2016;628.0;348.0;-280.0;367081.0;-0.0007627744285321224
NAT;BE;F;From 50 to 54 years;Y50-54;2017;696.0;350.0;-346.0;363744.0;-0.0009512184393419547
NAT;BE;F;From 50 to 54 years;Y50-54;2018;628.0;369.0;-259.0;359067.0;-0.0007213138495044101
NAT;BE;F;From 50 to 54 years;Y50-54;2019;677.0;363.0;-314.0;352905.0;-0.0008897578668480186
NAT;BE;F;From 55 to 59 years;Y55-59;2010;352.0;264.0;-88.0;319840.0;-0.0002751375687843922
NAT;BE;F;From 55 to 59 years;Y55-59;2013;508.0;244.0;-264.0;337112.0;-0.0007831225230783835
NAT;BE;F;From 55 to 59 years;Y55-59;2014;457.0;264.0;-193.0;342893.0;-0.0005628578011216327
NAT;BE;F;From 55 to 59 years;Y55-59;2015;458.0;261.0;-197.0;348536.0;-0.0005652213831569766
NAT;BE;F;From 55 to 59 years;Y55-59;2016;523.0;270.0;-253.0;351818.0;-0.0007191218186676066
NAT;BE;F;From 55 to 59 years;Y55-59;2017;531.0;275.0;-256.0;355812.0;-0.000719481074275179
NAT;BE;F;From 55 to 59 years;Y55-59;2018;611.0;306.0;-305.0;358474.0;-0.0008508287909304441
NAT;BE;F;From 55 to 59 years;Y55-59;2019;578.0;314.0;-264.0;360976.0;-0.0007313505607020966
NAT;BE;F;From 60 to 64 years;Y60-64;2010;334.0;198.0;-136.0;298748.0;-0.0004552331731091087
NAT;BE;F;From 60 to 64 years;Y60-64;2013;518.0;186.0;-332.0;307077.0;-0.0010811620538171208
NAT;BE;F;From 60 to 64 years;Y60-64;2014;484.0;219.0;-265.0;308493.0;-0.0008590146291812132
NAT;BE;F;From 60 to 64 years;Y60-64;2015;509.0;204.0;-305.0;312614.0;-0.0009756440850377783
NAT;BE;F;From 60 to 64 years;Y60-64;2016;533.0;221.0;-312.0;317622.0;-0.0009822997147552752
NAT;BE;F;From 60 to 64 years;Y60-64;2017;619.0;203.0;-416.0;323687.0;-0.0012851921763926263
NAT;BE;F;From 60 to 64 years;Y60-64;2018;628.0;222.0;-406.0;328458.0;-0.0012360788898428414
NAT;BE;F;From 60 to 64 years;Y60-64;2019;653.0;211.0;-442.0;333982.0;-0.001323424615697852
NAT;BE;F;From 65 to 69 years;Y65-69;2010;189.0;108.0;-81.0;226041.0;-0.00035834207068629145
NAT;BE;F;From 65 to 69 years;Y65-69;2013;461.0;143.0;-318.0;269460.0;-0.0011801380538855489
NAT;BE;F;From 65 to 69 years;Y65-69;2014;432.0;145.0;-287.0;280304.0;-0.0010238883497916548
NAT;BE;F;From 65 to 69 years;Y65-69;2015;415.0;162.0;-253.0;287801.0;-0.0008790796418358519
NAT;BE;F;From 65 to 69 years;Y65-69;2016;488.0;174.0;-314.0;295200.0;-0.0010636856368563686
NAT;BE;F;From 65 to 69 years;Y65-69;2017;517.0;172.0;-345.0;294035.0;-0.001173329705647287
NAT;BE;F;From 65 to 69 years;Y65-69;2018;593.0;148.0;-445.0;295352.0;-0.0015066767788943362
NAT;BE;F;From 65 to 69 years;Y65-69;2019;601.0;171.0;-430.0;296564.0;-0.0014499399792287668
NAT;BE;F;From 70 to 74 years;Y70-74;2010;110.0;86.0;-24.0;230852.0;-0.00010396271204061476
NAT;BE;F;From 70 to 74 years;Y70-74;2013;164.0;84.0;-80.0;213416.0;-0.00037485474378678264
NAT;BE;F;From 70 to 74 years;Y70-74;2014;170.0;70.0;-100.0;212001.0;-0.0004716958882269423
NAT;BE;F;From 70 to 74 years;Y70-74;2015;186.0;100.0;-86.0;213776.0;-0.0004022902477359479
NAT;BE;F;From 70 to 74 years;Y70-74;2016;225.0;116.0;-109.0;220222.0;-0.0004949550907720391
NAT;BE;F;From 70 to 74 years;Y70-74;2017;258.0;132.0;-126.0;239352.0;-0.0005264213376115511
NAT;BE;F;From 70 to 74 years;Y70-74;2018;257.0;139.0;-118.0;254580.0;-0.00046350852384319274
NAT;BE;F;From 70 to 74 years;Y70-74;2019;234.0;137.0;-97.0;265102.0;-0.00036589690006110854
NAT;BE;F;From 75 to 79 years;Y75-79;2010;75.0;75.0;0.0;222293.0;0.0
NAT;BE;F;From 75 to 79 years;Y75-79;2013;115.0;60.0;-55.0;209745.0;-0.00026222317576104316
NAT;BE;F;From 75 to 79 years;Y75-79;2014;116.0;66.0;-50.0;210314.0;-0.0002377397605485132
NAT;BE;F;From 75 to 79 years;Y75-79;2015;107.0;88.0;-19.0;210356.0;-9.032307136473406e-05
NAT;BE;F;From 75 to 79 years;Y75-79;2016;100.0;66.0;-34.0;206874.0;-0.00016435124761932383
NAT;BE;F;From 75 to 79 years;Y75-79;2017;121.0;90.0;-31.0;199184.0;-0.00015563499076231023
NAT;BE;F;From 75 to 79 years;Y75-79;2018;115.0;67.0;-48.0;194465.0;-0.00024683104928907514
NAT;BE;F;From 75 to 79 years;Y75-79;2019;122.0;86.0;-36.0;193377.0;-0.00018616484897376626
NAT;BE;F;From 80 to 84 years;Y80-84;2010;74.0;53.0;-21.0;176907.0;-0.00011870643897641133
NAT;BE;F;From 80 to 84 years;Y80-84;2013;97.0;50.0;-47.0;185675.0;-0.0002531304699070957
NAT;BE;F;From 80 to 84 years;Y80-84;2014;73.0;57.0;-16.0;185481.0;-8.626220475412576e-05
